run_id,stage_id,planned_cost,measured_cost,adjusted_measured_cost,retry_rate,qa_eval_multiplier,variance_pct,review_flag
TM_020-C012-00250,TM_020,0.00675,0.000894,0.001118,0.06,1.18,-86.76,High variance: estimate too conservative
TM_020-C009-00251,TM_020,0.00675,0.000877,0.001097,0.06,1.18,-87.01,High variance: estimate too conservative
TM_020-C006-00252,TM_020,0.00675,0.000883,0.001104,0.06,1.18,-86.92,High variance: estimate too conservative
TM_020-C011-00253,TM_020,0.00675,0.000877,0.001097,0.06,1.18,-87.01,High variance: estimate too conservative
TM_020-C008-00254,TM_020,0.00675,0.000884,0.001106,0.06,1.18,-86.9,High variance: estimate too conservative
TM_020-C010-00255,TM_020,0.00675,0.000868,0.001086,0.06,1.18,-87.14,High variance: estimate too conservative
TM_020-C004-00256,TM_020,0.00675,0.000874,0.001093,0.06,1.18,-87.05,High variance: estimate too conservative
TM_020-C005-00257,TM_020,0.00675,0.00089,0.001113,0.06,1.18,-86.81,High variance: estimate too conservative
TM_021-C001-00258,TM_021,0.0075,0.000638,0.000778,0.06,1.15,-91.49,High variance: estimate too conservative
TM_021-C002-00259,TM_021,0.0075,0.000638,0.000778,0.06,1.15,-91.49,High variance: estimate too conservative
TM_021-C003-00260,TM_021,0.0075,0.000638,0.000778,0.06,1.15,-91.49,High variance: estimate too conservative
TM_021-C004-00261,TM_021,0.0075,0.00064,0.00078,0.06,1.15,-91.47,High variance: estimate too conservative
TM_021-C005-00262,TM_021,0.0075,0.000641,0.000781,0.06,1.15,-91.45,High variance: estimate too conservative
TM_021-C006-00263,TM_021,0.0075,0.000639,0.000779,0.06,1.15,-91.48,High variance: estimate too conservative
TM_021-C007-00264,TM_021,0.0075,0.000636,0.000775,0.06,1.15,-91.52,High variance: estimate too conservative
TM_021-C008-00265,TM_021,0.0075,0.00064,0.00078,0.06,1.15,-91.47,High variance: estimate too conservative
TM_021-C009-00266,TM_021,0.0075,0.000638,0.000778,0.06,1.15,-91.49,High variance: estimate too conservative
TM_021-C010-00267,TM_021,0.0075,0.000639,0.000779,0.06,1.15,-91.48,High variance: estimate too conservative
TM_021-C011-00268,TM_021,0.0075,0.000638,0.000778,0.06,1.15,-91.49,High variance: estimate too conservative
TM_021-C012-00269,TM_021,0.0075,0.000639,0.000779,0.06,1.15,-91.48,High variance: estimate too conservative
TM_022-O001-00270,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.12,High variance: estimate too conservative
TM_022-O002-00271,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.14,High variance: estimate too conservative
TM_022-O003-00272,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.12,High variance: estimate too conservative
TM_022-O004-00273,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.14,High variance: estimate too conservative
TM_022-O005-00274,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.14,High variance: estimate too conservative
TM_022-O006-00275,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.12,High variance: estimate too conservative
TM_022-O007-00276,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.14,High variance: estimate too conservative
TM_022-O008-00277,TM_022,0.0001,3e-06,3e-06,0.03,1.05,-97.14,High variance: estimate too conservative
TM_023-O001-00278,TM_023,0.057,0.003143,0.006134,0.22,1.6,-94.49,High variance: estimate too conservative
TM_023-O002-00279,TM_023,0.057,0.00301,0.005876,0.22,1.6,-94.72,High variance: estimate too conservative
TM_023-O003-00280,TM_023,0.057,0.002347,0.004582,0.22,1.6,-95.88,High variance: estimate too conservative
TM_023-O004-00281,TM_023,0.057,0.00301,0.005876,0.22,1.6,-94.72,High variance: estimate too conservative
TM_023-O005-00282,TM_023,0.057,0.002253,0.004397,0.22,1.6,-96.05,High variance: estimate too conservative
TM_023-O006-00283,TM_023,0.057,0.00236,0.004607,0.22,1.6,-95.86,High variance: estimate too conservative
TM_023-O007-00284,TM_023,0.057,0.002902,0.005666,0.22,1.6,-94.91,High variance: estimate too conservative
TM_023-O008-00285,TM_023,0.057,0.002338,0.004563,0.22,1.6,-95.9,High variance: estimate too conservative
TM_024-O001-00286,TM_024,0.069,0.003477,0.006154,0.18,1.5,-94.96,High variance: estimate too conservative
TM_024-O002-00287,TM_024,0.069,0.003321,0.005878,0.18,1.5,-95.19,High variance: estimate too conservative
TM_024-O004-00288,TM_024,0.069,0.003324,0.005883,0.18,1.5,-95.18,High variance: estimate too conservative
TM_024-O007-00289,TM_024,0.069,0.003201,0.005666,0.18,1.5,-95.36,High variance: estimate too conservative
TM_025-O001-00290,TM_025,0.007,0.000824,0.001133,0.1,1.25,-88.23,High variance: estimate too conservative
TM_025-O002-00291,TM_025,0.007,0.000829,0.00114,0.1,1.25,-88.16,High variance: estimate too conservative
TM_025-O004-00292,TM_025,0.007,0.000839,0.001154,0.1,1.25,-88.01,High variance: estimate too conservative
TM_025-O007-00293,TM_025,0.007,0.000809,0.001112,0.1,1.25,-88.44,High variance: estimate too conservative
TM_026-O001-00294,TM_026,0.00525,0.000635,0.000774,0.06,1.15,-87.9,High variance: estimate too conservative
TM_026-O002-00295,TM_026,0.00525,0.000635,0.000774,0.06,1.15,-87.9,High variance: estimate too conservative
TM_026-O004-00296,TM_026,0.00525,0.000635,0.000774,0.06,1.15,-87.9,High variance: estimate too conservative
TM_026-O007-00297,TM_026,0.00525,0.000635,0.000774,0.06,1.15,-87.9,High variance: estimate too conservative
TM_027-A001-00298,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A002-00299,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A004-00300,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A005-00301,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A008-00302,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A010-00303,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A012-00304,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A014-00305,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_027-A017-00306,TM_027,0.00016,5e-06,5e-06,0.03,1.05,-97.16,High variance: estimate too conservative
TM_028-A001-00307,TM_028,0.195,0.004374,0.009072,0.22,1.7,-97.76,High variance: estimate too conservative
TM_028-A002-00308,TM_028,0.195,0.004374,0.009072,0.22,1.7,-97.76,High variance: estimate too conservative
TM_028-A004-00309,TM_028,0.195,0.00429,0.008897,0.22,1.7,-97.8,High variance: estimate too conservative
TM_028-A005-00310,TM_028,0.195,0.004374,0.009072,0.22,1.7,-97.76,High variance: estimate too conservative
TM_028-A008-00311,TM_028,0.195,0.004686,0.009719,0.22,1.7,-97.6,High variance: estimate too conservative
TM_028-A010-00312,TM_028,0.195,0.003978,0.00825,0.22,1.7,-97.96,High variance: estimate too conservative
TM_028-A012-00313,TM_028,0.195,0.003978,0.00825,0.22,1.7,-97.96,High variance: estimate too conservative
TM_028-A014-00314,TM_028,0.195,0.004686,0.009719,0.22,1.7,-97.6,High variance: estimate too conservative
TM_028-A017-00315,TM_028,0.195,0.004686,0.009719,0.22,1.7,-97.6,High variance: estimate too conservative
TM_029-A001-00316,TM_029,0.0825,0.00414,0.007328,0.18,1.5,-94.98,High variance: estimate too conservative
TM_029-A002-00317,TM_029,0.0825,0.00414,0.007328,0.18,1.5,-94.98,High variance: estimate too conservative
TM_029-A004-00318,TM_029,0.0825,0.004058,0.007182,0.18,1.5,-95.08,High variance: estimate too conservative
TM_029-A005-00319,TM_029,0.0825,0.00414,0.007328,0.18,1.5,-94.98,High variance: estimate too conservative
TM_029-A008-00320,TM_029,0.0825,0.004448,0.007872,0.18,1.5,-94.61,High variance: estimate too conservative
TM_029-A010-00321,TM_029,0.0825,0.00375,0.006637,0.18,1.5,-95.45,High variance: estimate too conservative
TM_029-A012-00322,TM_029,0.0825,0.00375,0.006637,0.18,1.5,-95.45,High variance: estimate too conservative
TM_029-A014-00323,TM_029,0.0825,0.004448,0.007872,0.18,1.5,-94.61,High variance: estimate too conservative
TM_029-A017-00324,TM_029,0.0825,0.004448,0.007872,0.18,1.5,-94.61,High variance: estimate too conservative
TM_030-A008-00325,TM_030,0.01,0.000959,0.001319,0.1,1.25,-90.41,High variance: estimate too conservative
TM_030-A014-00326,TM_030,0.01,0.000949,0.001305,0.1,1.25,-90.51,High variance: estimate too conservative
TM_030-A017-00327,TM_030,0.01,0.000959,0.001319,0.1,1.25,-90.41,High variance: estimate too conservative
TM_030-A005-00328,TM_030,0.01,0.00091,0.001251,0.1,1.25,-90.9,High variance: estimate too conservative
TM_030-A002-00329,TM_030,0.01,0.000905,0.001244,0.1,1.25,-90.95,High variance: estimate too conservative
TM_030-A004-00330,TM_030,0.01,0.000872,0.001199,0.1,1.25,-91.28,High variance: estimate too conservative
TM_030-A012-00331,TM_030,0.01,0.000823,0.001132,0.1,1.25,-91.77,High variance: estimate too conservative
TM_030-A010-00332,TM_030,0.01,0.000818,0.001125,0.1,1.25,-91.82,High variance: estimate too conservative
TM_030-A001-00333,TM_030,0.01,0.000895,0.001231,0.1,1.25,-91.05,High variance: estimate too conservative
TM_031-A001-00334,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A002-00335,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A004-00336,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A005-00337,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A008-00338,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A010-00339,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A012-00340,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A014-00341,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_031-A017-00342,TM_031,0.078,0.002427,0.004439,0.18,1.55,-96.89,High variance: estimate too conservative
TM_032-A001-00343,TM_032,0.0095,0.000688,0.000946,0.1,1.25,-92.76,High variance: estimate too conservative
TM_032-A002-00344,TM_032,0.0095,0.000677,0.000931,0.1,1.25,-92.87,High variance: estimate too conservative
TM_032-A004-00345,TM_032,0.0095,0.000643,0.000884,0.1,1.25,-93.23,High variance: estimate too conservative
TM_032-A005-00346,TM_032,0.0095,0.000688,0.000946,0.1,1.25,-92.76,High variance: estimate too conservative
TM_032-A008-00347,TM_032,0.0095,0.000709,0.000975,0.1,1.25,-92.54,High variance: estimate too conservative
TM_032-A010-00348,TM_032,0.0095,0.000676,0.000929,0.1,1.25,-92.88,High variance: estimate too conservative
TM_032-A012-00349,TM_032,0.0095,0.000664,0.000913,0.1,1.25,-93.01,High variance: estimate too conservative
TM_032-A014-00350,TM_032,0.0095,0.000691,0.00095,0.1,1.25,-92.73,High variance: estimate too conservative
TM_032-A017-00351,TM_032,0.0095,0.000704,0.000968,0.1,1.25,-92.59,High variance: estimate too conservative
TM_033-A002-00352,TM_033,0.00725,0.001776,0.002442,0.1,1.25,-75.5,High variance: estimate too conservative
TM_033-A004-00353,TM_033,0.00725,0.001652,0.002272,0.1,1.25,-77.21,High variance: estimate too conservative
TM_033-A005-00354,TM_033,0.00725,0.001891,0.0026,0.1,1.25,-73.92,High variance: estimate too conservative
TM_033-A008-00355,TM_033,0.00725,0.001881,0.002586,0.1,1.25,-74.06,High variance: estimate too conservative
TM_033-A014-00356,TM_033,0.00725,0.001858,0.002555,0.1,1.25,-74.37,High variance: estimate too conservative
TM_033-A017-00357,TM_033,0.00725,0.001761,0.002421,0.1,1.25,-75.71,High variance: estimate too conservative
TM_034-A002-00358,TM_034,0.009,0.000821,0.001174,0.1,1.3,-90.88,High variance: estimate too conservative
TM_034-A004-00359,TM_034,0.009,0.000767,0.001097,0.1,1.3,-91.48,High variance: estimate too conservative
TM_034-A005-00360,TM_034,0.009,0.000877,0.001254,0.1,1.3,-90.26,High variance: estimate too conservative
TM_034-A008-00361,TM_034,0.009,0.000931,0.001331,0.1,1.3,-89.66,High variance: estimate too conservative
TM_034-A014-00362,TM_034,0.009,0.000833,0.001191,0.1,1.3,-90.74,High variance: estimate too conservative
TM_034-A017-00363,TM_034,0.009,0.000875,0.001251,0.1,1.3,-90.28,High variance: estimate too conservative
TM_035-A008-00364,TM_035,0.007,0.000988,0.00128,0.08,1.2,-85.89,High variance: estimate too conservative
TM_035-A014-00365,TM_035,0.007,0.0009,0.001166,0.08,1.2,-87.14,High variance: estimate too conservative
TM_035-A017-00366,TM_035,0.007,0.000917,0.001188,0.08,1.2,-86.9,High variance: estimate too conservative
TM_035-A005-00367,TM_035,0.007,0.000934,0.00121,0.08,1.2,-86.66,High variance: estimate too conservative
TM_035-A002-00368,TM_035,0.007,0.000863,0.001118,0.08,1.2,-87.67,High variance: estimate too conservative
TM_035-A004-00369,TM_035,0.007,0.000824,0.001068,0.08,1.2,-88.23,High variance: estimate too conservative
TM_036-A002-00370,TM_036,0.00575,0.000681,0.00083,0.06,1.15,-88.16,High variance: estimate too conservative
TM_036-A004-00371,TM_036,0.00575,0.000646,0.000787,0.06,1.15,-88.77,High variance: estimate too conservative
TM_036-A005-00372,TM_036,0.00575,0.000703,0.000857,0.06,1.15,-87.77,High variance: estimate too conservative
TM_036-A008-00373,TM_036,0.00575,0.000725,0.000884,0.06,1.15,-87.39,High variance: estimate too conservative
TM_036-A014-00374,TM_036,0.00575,0.000694,0.000846,0.06,1.15,-87.93,High variance: estimate too conservative
TM_036-A017-00375,TM_036,0.00575,0.000708,0.000863,0.06,1.15,-87.69,High variance: estimate too conservative
TM_037-A008-00376,TM_037,0.3,0.007605,0.015971,0.2,1.75,-97.46,High variance: estimate too conservative
TM_037-A005-00377,TM_037,0.3,0.00755,0.015855,0.2,1.75,-97.48,High variance: estimate too conservative
TM_037-A002-00378,TM_037,0.3,0.00751,0.015771,0.2,1.75,-97.5,High variance: estimate too conservative
